episode,entry_datetime,exit_datetime,symbol,long_exchange,short_exchange,status,position_size_usd,leverage,margin_used_usd,entry_long_price,entry_short_price,exit_long_price,exit_short_price,long_funding_rate,short_funding_rate,funding_earned_usd,long_funding_earned_usd,short_funding_earned_usd,entry_fees_usd,exit_fees_usd,total_fees_usd,realized_pnl_usd,realized_pnl_pct,unrealized_pnl_usd,unrealized_pnl_pct,hours_held
1,2025-11-03 17:05:00+00:00,2025-11-04 17:00:00+00:00,KITEUSDT,Binance,Bybit,closed,2041.0750801465013,2.0,2041.0750801465013,0.07796,0.07853,0.07796,0.07853,-0.01899541,-0.00110589,178.45343943979674,232.62634792899388,-54.17290848919713,0.40821501602930027,0.8164300320586005,1.2246450480879008,177.22879439170885,4.341555,178.04522442376745,4.361554999999999,23.916666666666668
1,2025-11-04 16:45:00+00:00,2025-11-05 00:00:00+00:00,0GUSDT,Bybit,Binance,closed,2246.9922110993907,2.0,2246.9922110993907,1.143,1.1304,1.143,1.1304,-0.00660708,-0.00382128,50.07736721344547,118.76845838488451,-68.69109117143904,0.4493984422198782,0.8987968844397564,1.3481953266596345,48.729171886785835,1.0843200000000002,49.62796877122559,1.1043200000000002,7.25
1,2025-11-04 17:05:00+00:00,2025-11-05 00:10:00+00:00,OMUSDT,Binance,Bybit,closed,1493.4046735498055,2.0,1493.4046735498055,0.08847,0.0885,0.08847,0.0885,-0.00059415,1.25e-05,1.9052856825148419,1.7746127735792339,0.13067290893560798,0.2986809347099611,0.5973618694199222,0.8960428041298834,1.0092428783849585,0.03379,1.6066047478048808,0.053790000000000004,7.083333333333333
1,2025-11-05 00:05:00+00:00,2025-11-05 08:40:00+00:00,MMTUSDT,Binance,Bybit,closed,2432.6630205894367,2.0,2432.6630205894367,2.3883,2.39717,2.3105,2.30926,0.00933231,0.025,441.1278732505333,-45.40473086735401,486.53260411788733,0.48653260411788735,0.9730652082357747,1.4595978123536621,449.63474368620996,9.241615872823663,450.6078088944457,9.261615872823665,8.583333333333334
1,2025-11-05 00:15:00+00:00,2025-11-05 09:55:00+00:00,MMTUSDT,Binance,Bybit,closed,2207.483235590738,2.0,2207.483235590738,2.3105,2.30926,0.9065,0.99308,-0.01052841,-0.00018992,399.87556615337274,-41.2018357486716,441.07740190204436,0.4414966471181476,0.8829932942362952,1.3244899413544429,315.3218855606689,7.142112802416969,316.2048788549052,7.16211280241697,9.666666666666666
1,2025-11-05 08:45:00+00:00,2025-11-05 12:00:00+00:00,MMTUSDT,Binance,Bybit,closed,2369.438722475116,2.0,2369.438722475116,0.9065,0.99308,0.9065,0.99308,-0.01052841,-0.00018992,23.146407131404338,24.946422340094234,-1.800015208689896,0.4738877444950232,0.9477754889900464,1.4216632334850696,21.724743897919268,0.4584365,22.672519386909315,0.4784365,3.25
1,2025-11-05 10:00:00+00:00,2025-11-05 12:10:00+00:00,ENSOUSDT,Binance,Bybit,closed,1604.1644387716174,2.0,1604.1644387716174,1.141,1.144,1.141,1.144,-0.00286963,-0.00044929,3.1618883170407965,4.603358398432197,-1.4414700813913999,0.3208328877543235,0.641665775508647,0.9624986632629705,2.1993896537778257,0.06855249999999999,2.841055429286473,0.08855249999999999,2.1666666666666665
1,2025-11-05 12:05:00+00:00,2025-11-05 13:00:00+00:00,ERAUSDT,Bybit,Binance,closed,2595.1264247817658,2.0,2595.1264247817658,0.3351,0.3116,0.3157,0.3021,-0.02,-0.01970625,51.902528495635316,51.902528495635316,0.0,0.5190252849563531,1.0380505699127063,1.5570758548690593,-20.77492475593051,-0.40026806704951867,-19.736874186017804,-0.3802680670495187,0.9166666666666666
1,2025-11-05 12:15:00+00:00,2025-11-05 19:55:00+00:00,ERAUSDT,Bybit,Binance,closed,2357.823401656237,2.0,2357.823401656237,0.3157,0.3021,0.2986,0.2855,-0.01705211,-0.01970625,241.92779465793447,288.3916520668227,-46.463857408888224,0.47156468033124743,0.9431293606624949,1.4146940409937423,242.36009129299643,5.139487781882906,243.3032206536589,5.1594877818829055,7.666666666666667
1,2025-11-05 13:05:00+00:00,2025-11-06 10:45:00+00:00,ERAUSDT,Bybit,Binance,closed,2409.7901452649403,2.0,2409.7901452649403,0.2986,0.2855,0.2746,0.2754,-0.00529118,1.25e-05,371.26742735953064,466.1529143293377,-94.88548696980703,0.48195802905298807,0.9639160581059761,1.4458740871589641,261.38448773880026,5.423386933762707,262.3484037969062,5.4433869337627065,21.666666666666668
